Unnamed: 0,CTUID,DGUID,CTNAME,LANDAREA,PRUID,total_hospitals_within_30_mins_before,total_hospitals_within_30_mins_after,total_hospitals_within_30_mins_diff
76,5350087.00,2021S05075350087.00,87.0,1.6034,35,2.0,4.0,2.0
77,5350088.00,2021S05075350088.00,88.0,0.2297,35,11.0,14.0,3.0
78,5350089.00,2021S05075350089.00,89.0,0.3297,35,11.0,13.0,2.0
79,5350090.00,2021S05075350090.00,90.0,0.3929,35,8.0,9.0,1.0
80,5350092.00,2021S05075350092.00,92.0,0.6258,35,9.0,11.0,2.0
81,5350093.00,2021S05075350093.00,93.0,0.6155,35,7.0,8.0,1.0
82,5350094.00,2021S05075350094.00,94.0,0.6373,35,4.0,7.0,3.0
83,5350095.00,2021S05075350095.00,95.0,0.3148,35,3.0,5.0,2.0
84,5350098.00,2021S05075350098.00,98.0,0.7166,35,1.0,3.0,2.0
85,5350099.00,2021S05075350099.00,99.0,0.5812,35,2.0,3.0,1.0
86,5350100.00,2021S05075350100.00,100.0,0.2858,35,1.0,3.0,2.0
87,5350101.00,2021S05075350101.00,101.0,0.4269,35,1.0,3.0,2.0
88,5350103.00,2021S05075350103.00,103.0,0.8379,35,1.0,3.0,2.0
89,5350104.00,2021S05075350104.00,104.0,0.7373,35,1.0,3.0,2.0
90,5350105.00,2021S05075350105.00,105.0,0.5507,35,1.0,3.0,2.0
91,5350106.00,2021S05075350106.00,106.0,1.3787,35,1.0,4.0,3.0
92,5350107.00,2021S05075350107.00,107.0,0.7226,35,1.0,4.0,3.0
93,5350108.00,2021S05075350108.00,108.0,0.7441,35,0.0,0.0,0.0
94,5350109.00,2021S05075350109.00,109.0,0.6301,35,0.0,0.0,0.0
95,5350110.00,2021S05075350110.00,110.0,0.5441,35,0.0,0.0,0.0
96,5350111.00,2021S05075350111.00,111.0,0.4532,35,0.0,0.0,0.0
97,5350112.00,2021S05075350112.00,112.0,0.5017,35,0.0,0.0,0.0
98,5350113.00,2021S05075350113.00,113.0,0.3823,35,1.0,2.0,1.0
99,5350114.00,2021S05075350114.00,114.0,0.6246,35,1.0,4.0,3.0
100,5350115.00,2021S05075350115.00,115.0,0.3777,35,3.0,5.0,2.0
101,5350116.00,2021S05075350116.00,116.0,0.6801,35,1.0,4.0,3.0
102,5350117.00,2021S05075350117.00,117.0,0.3983,35,9.0,11.0,2.0
103,5350118.00,2021S05075350118.00,118.0,0.6969,35,3.0,4.0,1.0
104,5350119.00,2021S05075350119.00,119.0,0.8489,35,5.0,6.0,1.0
105,5350120.00,2021S05075350120.00,120.0,0.2586,35,8.0,10.0,2.0
106,5350121.00,2021S05075350121.00,121.0,0.2974,35,6.0,7.0,1.0
107,5350122.00,2021S05075350122.00,122.0,0.5338,35,2.0,5.0,3.0
108,5350123.00,2021S05075350123.00,123.0,0.075,35,2.0,5.0,3.0
109,5350124.00,2021S05075350124.00,124.0,0.5514,35,7.0,9.0,2.0
110,5350125.00,2021S05075350125.00,125.0,1.1201,35,2.0,5.0,3.0
