CTUID,Neighbourhood,Before_After_Difference,Value
5350018.0,South Riverdale,travel_time_to_first_dest_before,21.0
5350018.0,South Riverdale,travel_time_to_first_dest_after,21.0
5350018.0,South Riverdale,travel_time_to_first_dest_reduction,0.0
5350019.0,South Riverdale,travel_time_to_first_dest_before,28.0
5350019.0,South Riverdale,travel_time_to_first_dest_after,28.0
5350019.0,South Riverdale,travel_time_to_first_dest_reduction,0.0
5350020.0,The Beaches,travel_time_to_first_dest_before,31.0
5350020.0,The Beaches,travel_time_to_first_dest_after,31.0
5350020.0,The Beaches,travel_time_to_first_dest_reduction,0.0
5350021.0,The Beaches,travel_time_to_first_dest_before,43.0
5350021.0,The Beaches,travel_time_to_first_dest_after,40.0
5350021.0,The Beaches,travel_time_to_first_dest_reduction,3.0
5350022.0,The Beaches,travel_time_to_first_dest_before,47.0
5350022.0,The Beaches,travel_time_to_first_dest_after,44.0
5350022.0,The Beaches,travel_time_to_first_dest_reduction,3.0
5350023.0,The Beaches,travel_time_to_first_dest_before,39.0
5350023.0,The Beaches,travel_time_to_first_dest_after,34.0
5350023.0,The Beaches,travel_time_to_first_dest_reduction,5.0
5350024.0,The Beaches,travel_time_to_first_dest_before,40.0
5350024.0,The Beaches,travel_time_to_first_dest_after,37.0
5350024.0,The Beaches,travel_time_to_first_dest_reduction,3.0
5350025.0,Woodbine Corridor,travel_time_to_first_dest_before,33.0
5350025.0,Woodbine Corridor,travel_time_to_first_dest_after,33.0
5350025.0,Woodbine Corridor,travel_time_to_first_dest_reduction,0.0
5350026.0,Greenwood-Coxwell,travel_time_to_first_dest_before,30.0
5350026.0,Greenwood-Coxwell,travel_time_to_first_dest_after,30.0
5350026.0,Greenwood-Coxwell,travel_time_to_first_dest_reduction,0.0
5350027.0,South Riverdale,travel_time_to_first_dest_before,25.0
5350027.0,South Riverdale,travel_time_to_first_dest_after,25.0
5350027.0,South Riverdale,travel_time_to_first_dest_reduction,0.0
5350028.01,South Riverdale,travel_time_to_first_dest_before,21.0
5350028.01,South Riverdale,travel_time_to_first_dest_after,21.0
5350028.01,South Riverdale,travel_time_to_first_dest_reduction,0.0
5350028.02,South Riverdale,travel_time_to_first_dest_before,22.0
5350028.02,South Riverdale,travel_time_to_first_dest_after,22.0
5350028.02,South Riverdale,travel_time_to_first_dest_reduction,0.0
5350029.0,South Riverdale,travel_time_to_first_dest_before,13.0
5350029.0,South Riverdale,travel_time_to_first_dest_after,13.0
5350029.0,South Riverdale,travel_time_to_first_dest_reduction,0.0
5350030.0,Regent Park,travel_time_to_first_dest_before,18.0
5350030.0,Regent Park,travel_time_to_first_dest_after,18.0
5350030.0,Regent Park,travel_time_to_first_dest_reduction,0.0
5350031.0,Regent Park,travel_time_to_first_dest_before,13.0
5350031.0,Regent Park,travel_time_to_first_dest_after,13.0
5350031.0,Regent Park,travel_time_to_first_dest_reduction,0.0
5350032.0,Moss Park,travel_time_to_first_dest_before,20.0
5350032.0,Moss Park,travel_time_to_first_dest_after,20.0
5350032.0,Moss Park,travel_time_to_first_dest_reduction,0.0
5350033.0,Moss Park,travel_time_to_first_dest_before,16.0
5350033.0,Moss Park,travel_time_to_first_dest_after,16.0
5350033.0,Moss Park,travel_time_to_first_dest_reduction,0.0
5350034.01,Downtown Yonge East,travel_time_to_first_dest_before,12.0
5350034.01,Downtown Yonge East,travel_time_to_first_dest_after,12.0
