from_id,to_id,travel_time
5350006.0,5350007.01,2.0
5350007.01,5350006.0,2.0
5350009.0,5350043.0,9.0
5350009.0,5350010.01,10.0
5350010.01,5350010.02,10.0
5350010.01,5350009.0,10.0
5350010.02,5350010.01,10.0
5350011.01,5350010.02,10.0
5350011.02,5350011.03,7.0
5350011.02,5350036.0,10.0
5350011.03,5350011.02,7.0
5350011.03,5350012.03,8.0
5350012.03,5350011.03,8.0
5350012.03,5350012.04,9.0
5350012.04,5350012.03,9.0
5350013.01,5350013.02,7.0
5350013.02,5350013.01,7.0
5350019.0,5350028.02,10.0
5350028.02,5350019.0,10.0
5350030.0,5350031.0,6.0
5350031.0,5350030.0,6.0
5350031.0,5350068.0,6.0
5350032.0,5350066.0,9.0
5350032.0,5350033.0,10.0
5350033.0,5350032.0,10.0
5350034.01,5350034.02,9.0
5350034.01,5350063.04,10.0
5350034.01,5350063.06,10.0
5350034.02,5350034.01,9.0
5350036.0,5350037.0,10.0
5350036.0,5350011.02,10.0
5350037.0,5350036.0,10.0
5350040.0,5350041.0,9.0
5350041.0,5350040.0,9.0
5350041.0,5350058.0,9.0
5350043.0,5350009.0,9.0
5350044.01,5350044.02,10.0
5350044.02,5350044.01,10.0
5350045.0,5350054.0,10.0
5350046.0,5350047.02,9.0
5350047.02,5350046.0,9.0
5350047.02,5350047.04,9.0
5350047.04,5350048.0,6.0
5350047.04,5350047.02,9.0
5350048.0,5350047.04,6.0
5350048.0,5350049.0,10.0
5350049.0,5350048.0,10.0
5350054.0,5350045.0,10.0
5350057.0,5350058.0,8.0
5350058.0,5350057.0,8.0
5350058.0,5350041.0,9.0
5350059.0,5350060.0,8.0
5350060.0,5350059.0,8.0
5350062.01,5350063.05,6.0
5350062.01,5350063.03,10.0
5350062.01,5350062.03,10.0
5350062.03,5350062.01,10.0
5350062.04,5350063.06,7.0
5350063.03,5350063.05,5.0
5350063.03,5350064.0,6.0
5350063.03,5350088.0,9.0
5350063.03,5350062.01,10.0
5350063.04,5350063.06,4.0
5350063.04,5350034.01,10.0
5350063.05,5350063.03,5.0
5350063.05,5350062.01,6.0
5350063.05,5350088.0,10.0
5350063.06,5350063.04,4.0
5350063.06,5350062.04,7.0
5350063.06,5350034.01,10.0
5350064.0,5350063.03,6.0
5350064.0,5350065.01,9.0
5350065.01,5350065.02,8.0
5350065.01,5350064.0,9.0
5350065.01,5350066.0,10.0
5350065.02,5350065.01,8.0
5350066.0,5350032.0,9.0
5350066.0,5350065.01,10.0
5350068.0,5350031.0,6.0
5350070.0,5350085.0,9.0
5350076.0,5350081.0,9.0
5350080.02,5350180.0,7.0
5350081.0,5350076.0,9.0
5350085.0,5350070.0,9.0
5350088.0,5350063.03,9.0
5350088.0,5350063.05,10.0
5350091.02,5350117.0,9.0
5350096.01,5350096.02,9.0
5350096.02,5350096.01,9.0
5350097.03,5350097.04,8.0
5350097.04,5350097.03,8.0
5350102.02,5350102.04,6.0
5350102.03,5350102.05,9.0
5350102.04,5350102.02,6.0
5350102.05,5350102.03,9.0
5350117.0,5350091.02,9.0
5350121.0,5350124.0,10.0
5350122.0,5350123.0,9.0
5350123.0,5350122.0,9.0
5350124.0,5350121.0,10.0
5350128.04,5350128.06,8.0
5350128.05,5350128.06,8.0
5350128.06,5350128.04,8.0
5350128.06,5350128.05,8.0
5350136.01,5350136.02,9.0
5350136.02,5350136.01,9.0
5350158.0,5350159.01,10.0
5350159.01,5350159.02,9.0
5350159.01,5350158.0,10.0
5350159.02,5350159.01,9.0
5350165.0,5350167.02,10.0
5350167.02,5350165.0,10.0
5350169.01,5350169.02,10.0
5350169.02,5350169.01,10.0
5350180.0,5350080.02,7.0
5350183.01,5350183.02,10.0
5350183.02,5350183.01,10.0
5350184.01,5350185.01,10.0
5350185.02,5350085.0,10.0
5350200.02,5350202.0,9.0
5350202.0,5350200.02,9.0
5350260.04,5350260.05,8.0
5350260.05,5350260.04,8.0
5350299.02,5350307.04,7.0
5350300.01,5350300.02,9.0
5350300.02,5350300.01,9.0
5350302.03,5350376.11,10.0
5350305.03,5350305.05,10.0
5350305.05,5350305.03,10.0
5350307.03,5350308.07,5.0
5350307.04,5350299.02,7.0
5350307.05,5350307.06,7.0
5350307.05,5350308.06,10.0
5350307.06,5350307.05,7.0
5350307.06,5350308.06,7.0
5350308.03,5350308.05,8.0
5350308.05,5350308.03,8.0
5350308.06,5350307.06,7.0
5350308.06,5350307.05,10.0
5350308.07,5350307.03,5.0
5350316.05,5350316.06,9.0
5350316.06,5350316.05,9.0
5350341.02,5350341.04,9.0
5350341.04,5350341.02,9.0
5350376.11,5350302.03,10.0
5350378.18,5350378.2,7.0
5350378.2,5350378.18,7.0
