CTUID,Job_type,Time,Num_jobs
5350098.00,Manufacturing and Warehousing,before,2372.0
5350099.00,Manufacturing and Warehousing,before,2126.0
5350100.00,Manufacturing and Warehousing,before,3411.0
5350101.00,Manufacturing and Warehousing,before,1909.0
5350102.02,Manufacturing and Warehousing,before,1072.0
5350102.03,Manufacturing and Warehousing,before,1300.0
5350102.04,Manufacturing and Warehousing,before,1593.0
5350102.05,Manufacturing and Warehousing,before,1285.0
5350103.00,Manufacturing and Warehousing,before,547.0
5350104.00,Manufacturing and Warehousing,before,685.0
5350105.00,Manufacturing and Warehousing,before,1475.0
5350106.00,Manufacturing and Warehousing,before,1786.0
5350107.00,Manufacturing and Warehousing,before,3927.0
5350108.00,Manufacturing and Warehousing,before,2516.0
5350109.00,Manufacturing and Warehousing,before,2711.0
5350110.00,Manufacturing and Warehousing,before,2497.0
5350111.00,Manufacturing and Warehousing,before,3757.0
5350112.00,Manufacturing and Warehousing,before,2897.0
5350113.00,Manufacturing and Warehousing,before,2071.0
5350114.00,Manufacturing and Warehousing,before,1237.0
5350115.00,Manufacturing and Warehousing,before,516.0
5350116.00,Manufacturing and Warehousing,before,78.0
5350117.00,Manufacturing and Warehousing,before,2272.0
5350118.00,Manufacturing and Warehousing,before,34.0
5350119.00,Manufacturing and Warehousing,before,164.0
5350120.00,Manufacturing and Warehousing,before,1738.0
5350121.00,Manufacturing and Warehousing,before,1517.0
5350122.00,Manufacturing and Warehousing,before,117.0
5350123.00,Manufacturing and Warehousing,before,125.0
5350124.00,Manufacturing and Warehousing,before,1728.0
5350125.00,Manufacturing and Warehousing,before,103.0
5350126.00,Manufacturing and Warehousing,before,39.0
5350127.00,Manufacturing and Warehousing,before,20.0
5350128.02,Manufacturing and Warehousing,before,208.0
5350128.04,Manufacturing and Warehousing,before,657.0
5350128.05,Manufacturing and Warehousing,before,255.0
5350128.06,Manufacturing and Warehousing,before,745.0
5350129.00,Manufacturing and Warehousing,before,100.0
5350130.00,Manufacturing and Warehousing,before,12.0
5350131.00,Manufacturing and Warehousing,before,60.0
5350132.00,Manufacturing and Warehousing,before,878.0
5350133.00,Manufacturing and Warehousing,before,31.0
5350134.00,Manufacturing and Warehousing,before,47.0
5350135.00,Manufacturing and Warehousing,before,41.0
5350136.01,Manufacturing and Warehousing,before,41.0
5350136.02,Manufacturing and Warehousing,before,144.0
5350137.00,Manufacturing and Warehousing,before,36.0
5350138.00,Manufacturing and Warehousing,before,105.0
5350139.01,Manufacturing and Warehousing,before,23.0
5350139.02,Manufacturing and Warehousing,before,47.0
5350140.00,Manufacturing and Warehousing,before,47.0
5350141.01,Manufacturing and Warehousing,before,115.0
5350141.02,Manufacturing and Warehousing,before,32.0
5350142.00,Manufacturing and Warehousing,before,88.0
5350150.00,Manufacturing and Warehousing,before,662.0
5350151.00,Manufacturing and Warehousing,before,535.0
5350152.00,Manufacturing and Warehousing,before,1993.0
5350153.00,Manufacturing and Warehousing,before,2504.0
5350154.00,Manufacturing and Warehousing,before,530.0
5350155.00,Manufacturing and Warehousing,before,1840.0
5350156.01,Manufacturing and Warehousing,before,1762.0
5350156.02,Manufacturing and Warehousing,before,1922.0
5350157.00,Manufacturing and Warehousing,before,3387.0
5350158.00,Manufacturing and Warehousing,before,4640.0
5350159.01,Manufacturing and Warehousing,before,4815.0
5350159.02,Manufacturing and Warehousing,before,2282.0
5350160.00,Manufacturing and Warehousing,before,4231.0
5350161.00,Manufacturing and Warehousing,before,1344.0
5350162.00,Manufacturing and Warehousing,before,3127.0
5350163.00,Manufacturing and Warehousing,before,1512.0
5350164.00,Manufacturing and Warehousing,before,291.0
5350165.00,Manufacturing and Warehousing,before,82.0
5350166.00,Manufacturing and Warehousing,before,866.0
5350167.01,Manufacturing and Warehousing,before,2142.0
5350167.02,Manufacturing and Warehousing,before,79.0
5350168.00,Manufacturing and Warehousing,before,1087.0
5350169.01,Manufacturing and Warehousing,before,3997.0
5350169.02,Manufacturing and Warehousing,before,3304.0
5350170.00,Manufacturing and Warehousing,before,1127.0
5350171.00,Manufacturing and Warehousing,before,3388.0
5350172.00,Manufacturing and Warehousing,before,2579.0
