CTUID,Neighbourhoods,Metric_Type,Metric_Name,Category,Before_After_Benefit,Value
5350270.02,Parkwoods-O'Connor Hills,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350271.01,Parkwoods-O'Connor Hills,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350271.01,Parkwoods-O'Connor Hills,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350271.01,Parkwoods-O'Connor Hills,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350271.02,Parkwoods-O'Connor Hills,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350271.02,Parkwoods-O'Connor Hills,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350271.02,Parkwoods-O'Connor Hills,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350272.01,Fenside-Parkwoods,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350272.01,Fenside-Parkwoods,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350272.01,Fenside-Parkwoods,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350272.02,Fenside-Parkwoods,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350272.02,Fenside-Parkwoods,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350272.02,Fenside-Parkwoods,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350273.01,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350273.01,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350273.01,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350273.02,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350273.02,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350273.02,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350274.01,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350274.01,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350274.01,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350274.02,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350274.02,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350274.02,St.Andrew-Windfields,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350275.00,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350275.00,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350275.00,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350276.01,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350276.01,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350276.01,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350276.02,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350276.02,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350276.02,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350277.00,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350277.00,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350277.00,Bedford Park-Nortown,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350278.00,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350278.00,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350278.00,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350279.01,Yorkdale-Glen Park,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350279.01,Yorkdale-Glen Park,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350279.01,Yorkdale-Glen Park,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350279.02,Yorkdale-Glen Park,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350279.02,Yorkdale-Glen Park,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350279.02,Yorkdale-Glen Park,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350280.00,Brookhaven-Amesbury,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350280.00,Brookhaven-Amesbury,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350280.00,Brookhaven-Amesbury,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350281.01,Brookhaven-Amesbury,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350281.01,Brookhaven-Amesbury,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350281.01,Brookhaven-Amesbury,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350281.02,Brookhaven-Amesbury,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350281.02,Brookhaven-Amesbury,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350281.02,Brookhaven-Amesbury,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350282.00,Pelmo Park-Humberlea,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350282.00,Pelmo Park-Humberlea,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350282.00,Pelmo Park-Humberlea,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350283.01,Rustic,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350283.01,Rustic,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350283.01,Rustic,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350283.02,Rustic,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350283.02,Rustic,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350283.02,Rustic,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350284.00,Maple Leaf,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350284.00,Maple Leaf,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350284.00,Maple Leaf,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350285.00,Maple Leaf,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350285.00,Maple Leaf,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350285.00,Maple Leaf,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350286.00,Yorkdale-Glen Park,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350286.00,Yorkdale-Glen Park,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350286.00,Yorkdale-Glen Park,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350287.02,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350287.02,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350287.02,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350287.03,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350287.03,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350287.03,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350287.04,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350287.04,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350287.04,Englemount-Lawrence,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350288.00,Clanton Park,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350288.00,Clanton Park,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350288.00,Clanton Park,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350289.00,Downsview,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350289.00,Downsview,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350289.00,Downsview,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350290.01,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350290.01,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350290.01,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350290.02,Downsview,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350290.02,Downsview,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350290.02,Downsview,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350291.02,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350291.02,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350291.02,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350291.03,Downsview,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350291.03,Downsview,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350291.03,Downsview,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350291.04,Downsview,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350291.04,Downsview,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350291.04,Downsview,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350292.00,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350292.00,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350292.00,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350293.00,Pelmo Park-Humberlea,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350293.00,Pelmo Park-Humberlea,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350293.00,Pelmo Park-Humberlea,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350294.01,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350294.01,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350294.01,Oakdale-Beverley Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350294.02,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350294.02,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350294.02,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350295.00,Downsview,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350295.00,Downsview,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350295.00,Downsview,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350296.00,Downsview,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350296.00,Downsview,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350296.00,Downsview,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350297.01,Bathurst Manor,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350297.01,Bathurst Manor,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350297.01,Bathurst Manor,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350297.02,Clanton Park,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350297.02,Clanton Park,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350297.02,Clanton Park,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350298.00,Lansing-Westgate,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350298.00,Lansing-Westgate,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350298.00,Lansing-Westgate,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350299.01,Lansing-Westgate,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350299.01,Lansing-Westgate,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350299.01,Lansing-Westgate,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350299.02,Lansing-Westgate,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350299.02,Lansing-Westgate,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350299.02,Lansing-Westgate,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350300.01,Avondale,Social,Number of Destinations within 30 mins,Hospital,before,4.0
5350300.01,Avondale,Social,Number of Destinations within 30 mins,Hospital,after,4.0
5350300.01,Avondale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350300.02,Avondale,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350300.02,Avondale,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350300.02,Avondale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350300.03,Avondale,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350300.03,Avondale,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350300.03,Avondale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350301.01,Henry Farm,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350301.01,Henry Farm,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350301.01,Henry Farm,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350301.03,Henry Farm,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350301.03,Henry Farm,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350301.03,Henry Farm,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350301.04,Henry Farm,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350301.04,Henry Farm,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350301.04,Henry Farm,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350302.01,Pleasant View,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350302.01,Pleasant View,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350302.01,Pleasant View,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350302.02,Pleasant View,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350302.02,Pleasant View,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350302.02,Pleasant View,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350302.03,Pleasant View,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350302.03,Pleasant View,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350302.03,Pleasant View,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350303.00,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350303.00,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350303.00,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350304.01,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350304.01,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350304.01,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350304.02,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350304.02,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350304.02,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350304.03,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350304.03,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350304.03,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350304.04,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350304.04,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350304.04,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350304.05,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350304.05,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350304.05,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350304.06,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350304.06,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350304.06,Don Valley Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350305.01,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350305.01,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350305.01,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350305.03,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350305.03,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350305.03,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350305.05,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350305.05,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350305.05,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350305.06,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350305.06,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350305.06,Bayview Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350306.01,East Willowdale,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350306.01,East Willowdale,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350306.01,East Willowdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350306.02,East Willowdale,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350306.02,East Willowdale,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350306.02,East Willowdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350307.03,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350307.03,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350307.03,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350307.04,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350307.04,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350307.04,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350307.05,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350307.05,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350307.05,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350307.06,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350307.06,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350307.06,Yonge-Doris,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350307.07,East Willowdale,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350307.07,East Willowdale,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350307.07,East Willowdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350308.02,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350308.02,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350308.02,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350308.03,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350308.03,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350308.03,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350308.05,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350308.05,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350308.05,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350308.06,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350308.06,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350308.06,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350308.07,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350308.07,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350308.07,Willowdale West,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350309.00,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350309.00,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350309.00,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350310.01,Bathurst Manor,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350310.01,Bathurst Manor,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350310.01,Bathurst Manor,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350310.02,Bathurst Manor,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350310.02,Bathurst Manor,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350310.02,Bathurst Manor,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350311.02,York University Heights,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350311.02,York University Heights,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350311.02,York University Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350311.03,York University Heights,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350311.03,York University Heights,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350311.03,York University Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350311.04,York University Heights,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350311.04,York University Heights,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350311.04,York University Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350311.05,York University Heights,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350311.05,York University Heights,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350311.05,York University Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350311.06,York University Heights,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350311.06,York University Heights,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350311.06,York University Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350312.02,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350312.02,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350312.02,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350312.03,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350312.03,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350312.03,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350312.04,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350312.04,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350312.04,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350312.05,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350312.05,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350312.05,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350312.06,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350312.06,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350312.06,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350312.07,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350312.07,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350312.07,Glenfield-Jane Heights,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350313.00,Humbermede,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350313.00,Humbermede,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350313.00,Humbermede,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350314.01,Humbermede,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350314.01,Humbermede,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350314.01,Humbermede,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350314.02,Humbermede,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350314.02,Humbermede,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350314.02,Humbermede,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350315.01,Humber Summit,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350315.01,Humber Summit,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350315.01,Humber Summit,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350315.02,Humber Summit,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350315.02,Humber Summit,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350315.02,Humber Summit,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350315.03,Humber Summit,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350315.03,Humber Summit,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350315.03,Humber Summit,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350316.01,Black Creek,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350316.01,Black Creek,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350316.01,Black Creek,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350316.03,Black Creek,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350316.03,Black Creek,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350316.03,Black Creek,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350316.04,Black Creek,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350316.04,Black Creek,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350316.04,Black Creek,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350316.05,Black Creek,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350316.05,Black Creek,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350316.05,Black Creek,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350316.06,Black Creek,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350316.06,Black Creek,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350316.06,Black Creek,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350317.02,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350317.02,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350317.02,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350317.03,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350317.03,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350317.03,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350317.04,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350317.04,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350317.04,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350317.05,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350317.05,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350317.05,Westminster-Branson,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
