CTUID,Neighbourhood,Timeframe,Total Destinations
5350058.00,Palmerston-Little Italy,first_destination_travel_time_after,9
5350058.00,Palmerston-Little Italy,first_destination_travel_time_before,10
5350058.00,Palmerston-Little Italy,first_destination_travel_time_diff,0
5350059.00,University,first_destination_travel_time_after,12
5350059.00,University,first_destination_travel_time_before,15
5350059.00,University,first_destination_travel_time_diff,1
5350060.00,University,first_destination_travel_time_after,11
5350060.00,University,first_destination_travel_time_before,14
5350060.00,University,first_destination_travel_time_diff,1
5350061.00,University,first_destination_travel_time_after,11
5350061.00,University,first_destination_travel_time_before,16
5350061.00,University,first_destination_travel_time_diff,0
5350062.01,Bay-Cloverhill,first_destination_travel_time_after,10
5350062.01,Bay-Cloverhill,first_destination_travel_time_before,20
5350062.01,Bay-Cloverhill,first_destination_travel_time_diff,0
5350062.03,Bay-Cloverhill,first_destination_travel_time_after,11
5350062.03,Bay-Cloverhill,first_destination_travel_time_before,19
5350062.03,Bay-Cloverhill,first_destination_travel_time_diff,0
5350062.04,Bay-Cloverhill,first_destination_travel_time_after,12
5350062.04,Bay-Cloverhill,first_destination_travel_time_before,21
5350062.04,Bay-Cloverhill,first_destination_travel_time_diff,0
5350063.03,Church-Wellesley,first_destination_travel_time_after,9
5350063.03,Church-Wellesley,first_destination_travel_time_before,18
5350063.03,Church-Wellesley,first_destination_travel_time_diff,0
5350063.04,Church-Wellesley,first_destination_travel_time_after,11
5350063.04,Church-Wellesley,first_destination_travel_time_before,21
5350063.04,Church-Wellesley,first_destination_travel_time_diff,0
5350063.05,Church-Wellesley,first_destination_travel_time_after,11
5350063.05,Church-Wellesley,first_destination_travel_time_before,17
5350063.05,Church-Wellesley,first_destination_travel_time_diff,1
5350063.06,Church-Wellesley,first_destination_travel_time_after,12
5350063.06,Church-Wellesley,first_destination_travel_time_before,14
5350063.06,Church-Wellesley,first_destination_travel_time_diff,0
5350064.00,North St.James Town,first_destination_travel_time_after,8
5350064.00,North St.James Town,first_destination_travel_time_before,10
5350064.00,North St.James Town,first_destination_travel_time_diff,0
5350065.01,North St.James Town,first_destination_travel_time_after,8
5350065.01,North St.James Town,first_destination_travel_time_before,14
5350065.01,North St.James Town,first_destination_travel_time_diff,4
5350065.02,North St.James Town,first_destination_travel_time_after,3
5350065.02,North St.James Town,first_destination_travel_time_before,9
5350065.02,North St.James Town,first_destination_travel_time_diff,0
5350066.00,Cabbagetown-South St.James Town,first_destination_travel_time_after,11
5350066.00,Cabbagetown-South St.James Town,first_destination_travel_time_before,20
5350066.00,Cabbagetown-South St.James Town,first_destination_travel_time_diff,0
5350067.00,Cabbagetown-South St.James Town,first_destination_travel_time_after,1
5350067.00,Cabbagetown-South St.James Town,first_destination_travel_time_before,11
5350067.00,Cabbagetown-South St.James Town,first_destination_travel_time_diff,0
5350068.00,Cabbagetown-South St.James Town,first_destination_travel_time_after,6
5350068.00,Cabbagetown-South St.James Town,first_destination_travel_time_before,15
5350068.00,Cabbagetown-South St.James Town,first_destination_travel_time_diff,0
5350069.00,North Riverdale,first_destination_travel_time_after,2
5350069.00,North Riverdale,first_destination_travel_time_before,7
5350069.00,North Riverdale,first_destination_travel_time_diff,1
5350070.00,North Riverdale,first_destination_travel_time_after,4
5350070.00,North Riverdale,first_destination_travel_time_before,11
5350070.00,North Riverdale,first_destination_travel_time_diff,2
5350071.00,North Riverdale,first_destination_travel_time_after,2
5350071.00,North Riverdale,first_destination_travel_time_before,10
5350071.00,North Riverdale,first_destination_travel_time_diff,1
5350072.01,Blake-Jones,first_destination_travel_time_after,1
5350072.01,Blake-Jones,first_destination_travel_time_before,6
5350072.01,Blake-Jones,first_destination_travel_time_diff,0
5350072.02,Blake-Jones,first_destination_travel_time_after,1
5350072.02,Blake-Jones,first_destination_travel_time_before,7
5350072.02,Blake-Jones,first_destination_travel_time_diff,1
5350073.00,South Riverdale,first_destination_travel_time_after,1
5350073.00,South Riverdale,first_destination_travel_time_before,5
5350073.00,South Riverdale,first_destination_travel_time_diff,0
5350074.00,Greenwood-Coxwell,first_destination_travel_time_after,2
5350074.00,Greenwood-Coxwell,first_destination_travel_time_before,7
5350074.00,Greenwood-Coxwell,first_destination_travel_time_diff,0
5350075.00,Greenwood-Coxwell,first_destination_travel_time_after,2
5350075.00,Greenwood-Coxwell,first_destination_travel_time_before,2
5350075.00,Greenwood-Coxwell,first_destination_travel_time_diff,1
5350076.00,Woodbine Corridor,first_destination_travel_time_after,1
5350076.00,Woodbine Corridor,first_destination_travel_time_before,7
5350076.00,Woodbine Corridor,first_destination_travel_time_diff,0
5350077.00,Woodbine Corridor,first_destination_travel_time_after,2
5350077.00,Woodbine Corridor,first_destination_travel_time_before,10
5350077.00,Woodbine Corridor,first_destination_travel_time_diff,1
5350078.00,East End-Danforth,first_destination_travel_time_after,0
5350078.00,East End-Danforth,first_destination_travel_time_before,10
5350078.00,East End-Danforth,first_destination_travel_time_diff,0
5350079.00,East End-Danforth,first_destination_travel_time_after,0
5350079.00,East End-Danforth,first_destination_travel_time_before,3
5350079.00,East End-Danforth,first_destination_travel_time_diff,0
5350080.01,East End-Danforth,first_destination_travel_time_after,1
5350080.01,East End-Danforth,first_destination_travel_time_before,6
5350080.01,East End-Danforth,first_destination_travel_time_diff,1
5350080.02,East End-Danforth,first_destination_travel_time_after,2
5350080.02,East End-Danforth,first_destination_travel_time_before,9
5350080.02,East End-Danforth,first_destination_travel_time_diff,1
5350081.00,Danforth,first_destination_travel_time_after,2
5350081.00,Danforth,first_destination_travel_time_before,8
5350081.00,Danforth,first_destination_travel_time_diff,1
5350082.00,Danforth,first_destination_travel_time_after,4
5350082.00,Danforth,first_destination_travel_time_before,4
5350082.00,Danforth,first_destination_travel_time_diff,3
5350083.00,Danforth,first_destination_travel_time_after,4
5350083.00,Danforth,first_destination_travel_time_before,7
5350083.00,Danforth,first_destination_travel_time_diff,3
5350084.00,Playter Estates-Danforth,first_destination_travel_time_after,4
5350084.00,Playter Estates-Danforth,first_destination_travel_time_before,5
5350084.00,Playter Estates-Danforth,first_destination_travel_time_diff,2
5350085.00,Playter Estates-Danforth,first_destination_travel_time_after,4
5350085.00,Playter Estates-Danforth,first_destination_travel_time_before,7
5350085.00,Playter Estates-Danforth,first_destination_travel_time_diff,2
5350086.00,Rosedale-Moore Park,first_destination_travel_time_after,1
5350086.00,Rosedale-Moore Park,first_destination_travel_time_before,11
5350086.00,Rosedale-Moore Park,first_destination_travel_time_diff,0
5350087.00,Rosedale-Moore Park,first_destination_travel_time_after,2
5350087.00,Rosedale-Moore Park,first_destination_travel_time_before,12
5350087.00,Rosedale-Moore Park,first_destination_travel_time_diff,0
5350088.00,Rosedale-Moore Park,first_destination_travel_time_after,11
5350088.00,Rosedale-Moore Park,first_destination_travel_time_before,19
5350088.00,Rosedale-Moore Park,first_destination_travel_time_diff,2
5350089.00,Annex,first_destination_travel_time_after,11
5350089.00,Annex,first_destination_travel_time_before,19
5350089.00,Annex,first_destination_travel_time_diff,2
5350090.00,Annex,first_destination_travel_time_after,8
5350090.00,Annex,first_destination_travel_time_before,12
5350090.00,Annex,first_destination_travel_time_diff,0
5350091.01,Annex,first_destination_travel_time_after,12
5350091.01,Annex,first_destination_travel_time_before,17
5350091.01,Annex,first_destination_travel_time_diff,1
5350091.02,Annex,first_destination_travel_time_after,10
5350091.02,Annex,first_destination_travel_time_before,14
5350091.02,Annex,first_destination_travel_time_diff,0
5350092.00,Annex,first_destination_travel_time_after,9
5350092.00,Annex,first_destination_travel_time_before,10
5350092.00,Annex,first_destination_travel_time_diff,1
5350093.00,Annex,first_destination_travel_time_after,7
5350093.00,Annex,first_destination_travel_time_before,9
5350093.00,Annex,first_destination_travel_time_diff,5
5350094.00,Dovercourt Village,first_destination_travel_time_after,4
5350094.00,Dovercourt Village,first_destination_travel_time_before,5
5350094.00,Dovercourt Village,first_destination_travel_time_diff,2
5350095.00,Dovercourt Village,first_destination_travel_time_after,3
5350095.00,Dovercourt Village,first_destination_travel_time_before,7
5350095.00,Dovercourt Village,first_destination_travel_time_diff,2
5350096.01,Dovercourt Village,first_destination_travel_time_after,0
5350096.01,Dovercourt Village,first_destination_travel_time_before,10
5350096.01,Dovercourt Village,first_destination_travel_time_diff,0
5350096.02,Dovercourt Village,first_destination_travel_time_after,5
5350096.02,Dovercourt Village,first_destination_travel_time_before,2
5350096.02,Dovercourt Village,first_destination_travel_time_diff,4
5350097.01,Junction-Wallace Emerson,first_destination_travel_time_after,6
5350097.01,Junction-Wallace Emerson,first_destination_travel_time_before,2
5350097.01,Junction-Wallace Emerson,first_destination_travel_time_diff,6
5350097.03,Junction-Wallace Emerson,first_destination_travel_time_after,0
5350097.03,Junction-Wallace Emerson,first_destination_travel_time_before,1
5350097.03,Junction-Wallace Emerson,first_destination_travel_time_diff,0
5350097.04,Junction-Wallace Emerson,first_destination_travel_time_after,0
5350097.04,Junction-Wallace Emerson,first_destination_travel_time_before,9
5350097.04,Junction-Wallace Emerson,first_destination_travel_time_diff,0
5350098.00,Junction-Wallace Emerson,first_destination_travel_time_after,1
5350098.00,Junction-Wallace Emerson,first_destination_travel_time_before,11
5350098.00,Junction-Wallace Emerson,first_destination_travel_time_diff,0
5350099.00,High Park North,first_destination_travel_time_after,2
5350099.00,High Park North,first_destination_travel_time_before,9
5350099.00,High Park North,first_destination_travel_time_diff,0
5350100.00,Junction Area,first_destination_travel_time_after,1
5350100.00,Junction Area,first_destination_travel_time_before,2
5350100.00,Junction Area,first_destination_travel_time_diff,0
5350101.00,Junction Area,first_destination_travel_time_after,1
5350101.00,Junction Area,first_destination_travel_time_before,7
5350101.00,Junction Area,first_destination_travel_time_diff,0
5350102.02,High Park North,first_destination_travel_time_after,1
5350102.02,High Park North,first_destination_travel_time_before,3
5350102.02,High Park North,first_destination_travel_time_diff,0
5350102.03,High Park North,first_destination_travel_time_after,1
5350102.03,High Park North,first_destination_travel_time_before,7
5350102.03,High Park North,first_destination_travel_time_diff,0
5350102.04,High Park North,first_destination_travel_time_after,1
5350102.04,High Park North,first_destination_travel_time_before,11
5350102.04,High Park North,first_destination_travel_time_diff,0
5350102.05,High Park North,first_destination_travel_time_after,1
5350102.05,High Park North,first_destination_travel_time_before,3
5350102.05,High Park North,first_destination_travel_time_diff,0
5350103.00,High Park North,first_destination_travel_time_after,1
5350103.00,High Park North,first_destination_travel_time_before,3
5350103.00,High Park North,first_destination_travel_time_diff,0
5350104.00,Runnymede-Bloor West Village,first_destination_travel_time_after,1
5350104.00,Runnymede-Bloor West Village,first_destination_travel_time_before,4
5350104.00,Runnymede-Bloor West Village,first_destination_travel_time_diff,0
5350105.00,Junction Area,first_destination_travel_time_after,1
5350105.00,Junction Area,first_destination_travel_time_before,5
5350105.00,Junction Area,first_destination_travel_time_diff,0
5350106.00,Junction Area,first_destination_travel_time_after,1
5350106.00,Junction Area,first_destination_travel_time_before,8
5350106.00,Junction Area,first_destination_travel_time_diff,0
5350107.00,Weston-Pelham Park,first_destination_travel_time_after,1
5350107.00,Weston-Pelham Park,first_destination_travel_time_before,3
5350107.00,Weston-Pelham Park,first_destination_travel_time_diff,0
5350108.00,Weston-Pelham Park,first_destination_travel_time_after,0
5350108.00,Weston-Pelham Park,first_destination_travel_time_before,3
5350108.00,Weston-Pelham Park,first_destination_travel_time_diff,0
5350109.00,Junction-Wallace Emerson,first_destination_travel_time_after,0
5350109.00,Junction-Wallace Emerson,first_destination_travel_time_before,4
5350109.00,Junction-Wallace Emerson,first_destination_travel_time_diff,0
5350110.00,Corso Italia-Davenport,first_destination_travel_time_after,0
5350110.00,Corso Italia-Davenport,first_destination_travel_time_before,5
5350110.00,Corso Italia-Davenport,first_destination_travel_time_diff,0
5350111.00,Corso Italia-Davenport,first_destination_travel_time_after,0
5350111.00,Corso Italia-Davenport,first_destination_travel_time_before,3
5350111.00,Corso Italia-Davenport,first_destination_travel_time_diff,0
5350112.00,Corso Italia-Davenport,first_destination_travel_time_after,0
5350112.00,Corso Italia-Davenport,first_destination_travel_time_before,6
5350112.00,Corso Italia-Davenport,first_destination_travel_time_diff,0
5350113.00,Corso Italia-Davenport,first_destination_travel_time_after,1
5350113.00,Corso Italia-Davenport,first_destination_travel_time_before,4
5350113.00,Corso Italia-Davenport,first_destination_travel_time_diff,0
5350114.00,Wychwood,first_destination_travel_time_after,1
5350114.00,Wychwood,first_destination_travel_time_before,5
5350114.00,Wychwood,first_destination_travel_time_diff,0
5350115.00,Wychwood,first_destination_travel_time_after,3
5350115.00,Wychwood,first_destination_travel_time_before,7
5350115.00,Wychwood,first_destination_travel_time_diff,1
5350116.00,Wychwood,first_destination_travel_time_after,1
5350116.00,Wychwood,first_destination_travel_time_before,9
5350116.00,Wychwood,first_destination_travel_time_diff,0
5350117.00,Casa Loma,first_destination_travel_time_after,9
5350117.00,Casa Loma,first_destination_travel_time_before,18
5350117.00,Casa Loma,first_destination_travel_time_diff,1
5350118.00,Casa Loma,first_destination_travel_time_after,3
5350118.00,Casa Loma,first_destination_travel_time_before,6
5350118.00,Casa Loma,first_destination_travel_time_diff,0
5350119.00,Casa Loma,first_destination_travel_time_after,5
5350119.00,Casa Loma,first_destination_travel_time_before,7
5350119.00,Casa Loma,first_destination_travel_time_diff,0
5350120.00,Yonge-St.Clair,first_destination_travel_time_after,8
5350120.00,Yonge-St.Clair,first_destination_travel_time_before,9
5350120.00,Yonge-St.Clair,first_destination_travel_time_diff,0
5350121.00,Yonge-St.Clair,first_destination_travel_time_after,6
5350121.00,Yonge-St.Clair,first_destination_travel_time_before,13
5350121.00,Yonge-St.Clair,first_destination_travel_time_diff,0
5350122.00,Yonge-St.Clair,first_destination_travel_time_after,2
5350122.00,Yonge-St.Clair,first_destination_travel_time_before,12
5350122.00,Yonge-St.Clair,first_destination_travel_time_diff,0
5350123.00,Yonge-St.Clair,first_destination_travel_time_after,2
5350123.00,Yonge-St.Clair,first_destination_travel_time_before,11
5350123.00,Yonge-St.Clair,first_destination_travel_time_diff,0
5350124.00,Rosedale-Moore Park,first_destination_travel_time_after,7
5350124.00,Rosedale-Moore Park,first_destination_travel_time_before,9
5350124.00,Rosedale-Moore Park,first_destination_travel_time_diff,0
5350125.00,Rosedale-Moore Park,first_destination_travel_time_after,2
5350125.00,Rosedale-Moore Park,first_destination_travel_time_before,3
5350125.00,Rosedale-Moore Park,first_destination_travel_time_diff,0
5350126.00,Mount Pleasant East,first_destination_travel_time_after,0
5350126.00,Mount Pleasant East,first_destination_travel_time_before,9
5350126.00,Mount Pleasant East,first_destination_travel_time_diff,0
5350127.00,Mount Pleasant East,first_destination_travel_time_after,4
5350127.00,Mount Pleasant East,first_destination_travel_time_before,12
