CTUID,Neighbourhood,total_destinations_within_30_mins_before,total_destinations_within_30_mins_after,total_destinations_within_30_mins_diff
5350187.00,Old East York,1,1,0
5350188.00,Old East York,1,1,0
5350189.00,O'Connor-Parkview,0,0,0
5350191.00,O'Connor-Parkview,0,0,0
5350192.00,O'Connor-Parkview,1,1,0
5350193.00,O'Connor-Parkview,0,0,0
5350201.00,Mimico-Queensway,0,0,0
5350202.00,Mimico-Queensway,0,0,0
5350203.00,Mimico-Queensway,0,0,0
5350204.00,New Toronto,0,0,0
5350205.00,New Toronto,0,0,0
5350207.00,New Toronto,0,0,0
5350208.00,New Toronto,0,0,0
5350209.00,Mimico-Queensway,0,0,0
5350211.00,Alderwood,0,0,0
5350212.00,Alderwood,0,0,0
5350214.00,Etobicoke City Centre,0,0,0
5350215.00,Stonegate-Queensway,0,0,0
5350216.00,Stonegate-Queensway,0,0,0
5350217.00,Stonegate-Queensway,0,0,0
5350218.00,Stonegate-Queensway,0,0,0
5350219.00,Stonegate-Queensway,0,0,0
5350220.00,Markland Wood,0,0,0
5350224.00,Princess-Rosethorn,0,0,0
5350226.00,Kingsway South,0,0,0
5350227.00,Kingsway South,0,1,1
5350228.00,Kingsway South,0,0,0
5350229.00,Kingsway South,0,0,0
5350231.00,Edenbridge-Humber Valley,0,0,0
5350232.00,Princess-Rosethorn,0,0,0
5350233.00,Princess-Rosethorn,0,0,0
5350234.00,Eringate-Centennial-West Deane,0,0,0
5350239.00,Kingsview Village-The Westway,0,0,0
5350241.00,Humber Heights-Westmount,0,0,0
5350242.00,Humber Heights-Westmount,1,1,0
5350245.00,Rexdale-Kipling,0,0,0
5350246.00,Rexdale-Kipling,1,1,0
5350261.00,Victoria Village,0,0,0
5350264.00,Bridle Path-Sunnybrook-York Mills,0,0,0
5350265.00,Bridle Path-Sunnybrook-York Mills,5,5,0
5350266.00,Bridle Path-Sunnybrook-York Mills,0,0,0
5350267.00,Banbury-Don Mills,0,0,0
5350268.00,Banbury-Don Mills,0,0,0
5350275.00,Bedford Park-Nortown,2,2,0
5350277.00,Bedford Park-Nortown,1,1,0
5350278.00,Englemount-Lawrence,1,1,0
5350280.00,Brookhaven-Amesbury,1,1,0
5350282.00,Pelmo Park-Humberlea,0,0,0
5350284.00,Maple Leaf,0,0,0
5350285.00,Maple Leaf,2,2,0
5350286.00,Yorkdale-Glen Park,1,1,0
5350288.00,Clanton Park,1,1,0
5350289.00,Downsview,1,1,0
5350292.00,Oakdale-Beverley Heights,0,0,0
5350293.00,Pelmo Park-Humberlea,1,1,0
5350295.00,Downsview,0,0,0
5350296.00,Downsview,0,0,0
5350298.00,Lansing-Westgate,0,0,0
5350303.00,Don Valley Village,0,0,0
5350309.00,Westminster-Branson,2,2,0
5350313.00,Humbermede,1,1,0
5350319.00,Newtonbrook West,1,1,0
5350330.00,Guildwood,0,0,0
5350332.00,Scarborough Village,1,1,0
5350333.00,Cliffcrest,0,0,0
5350334.00,Cliffcrest,0,0,0
5350335.00,Cliffcrest,0,0,0
5350336.00,Birchcliffe-Cliffside,0,0,0
5350338.00,Birchcliffe-Cliffside,0,0,0
5350339.00,Birchcliffe-Cliffside,0,0,0
5350340.00,Clairlea-Birchmount,1,1,0
5350342.00,Clairlea-Birchmount,0,0,0
5350343.00,Clairlea-Birchmount,0,0,0
5350345.00,Kennedy Park,0,0,0
5350347.00,Clairlea-Birchmount,1,1,0
5350348.00,Clairlea-Birchmount,1,1,0
5350349.00,Wexford/Maryvale,0,0,0
5350350.00,Wexford/Maryvale,1,1,0
5350352.00,Dorset Park,1,1,0
5350354.00,Bendale South,1,1,0
5350356.00,Golfdale-Cedarbrae-Woburn,1,1,0
5350359.00,West Hill,1,1,0
5350360.00,West Hill,0,0,0
5350365.00,Golfdale-Cedarbrae-Woburn,2,2,0
5350366.00,Woburn North,1,1,0
5350369.00,Bendale-Glen Andrew,0,0,0
5350371.00,Wexford/Maryvale,0,0,0
5350372.00,Wexford/Maryvale,0,0,0
5350373.00,Wexford/Maryvale,0,0,0
5350012.01,Harbourfront-CityPlace,2,2,0
5350034.01,Downtown Yonge East,11,11,0
5350034.02,Downtown Yonge East,12,12,0
5350299.01,Lansing-Westgate,3,3,0
5350299.02,Lansing-Westgate,2,2,0
5350305.03,Bayview Village,1,1,0
5350307.03,Yonge-Doris,1,1,0
5350307.04,Yonge-Doris,2,2,0
5350307.05,Yonge-Doris,3,3,0
5350307.06,Yonge-Doris,3,3,0
5350307.07,East Willowdale,1,1,0
5350368.01,Bendale-Glen Andrew,2,2,0
5350368.02,Bendale-Glen Andrew,1,1,0
5350013.01,St Lawrence-East Bayfront-The Islands,10,10,0
