CTUID,Manufacturing and Warehousing_before,Manufacturing and Warehousing_after,Manufacturing and Warehousing_absolute_difference,Retail_before,Retail_after,Retail_absolute_difference,Service_before,Service_after,Service_absolute_difference,Office_before,Office_after,Office_absolute_difference,Institutional_before,Institutional_after,Institutional_absolute_difference,Community and Entertainment_before,Community and Entertainment_after,Community and Entertainment_absolute_difference,Grand Total_before,Grand Total_after,Grand Total_absolute_difference
5350363.07,3792.0,3792.0,0.0,6194.0,6194.0,0.0,3437.0,3437.0,0.0,15767.0,15767.0,0.0,6005.0,6005.0,0.0,741.0,741.0,0.0,35936.0,35936.0,0.0
5350364.01,0.0,0.0,0.0,31.0,31.0,0.0,11.0,11.0,0.0,16.0,16.0,0.0,223.0,223.0,0.0,0.0,0.0,0.0,281.0,281.0,0.0
5350364.02,14.0,14.0,0.0,751.0,751.0,0.0,737.0,737.0,0.0,1698.0,1698.0,0.0,3581.0,3581.0,0.0,283.0,283.0,0.0,7064.0,7064.0,0.0
5350365.00,581.0,581.0,0.0,4214.0,4214.0,0.0,2595.0,2595.0,0.0,5777.0,5777.0,0.0,3717.0,3717.0,0.0,276.0,276.0,0.0,17160.0,17160.0,0.0
5350366.00,265.0,265.0,0.0,3767.0,3767.0,0.0,1810.0,1810.0,0.0,8787.0,8787.0,0.0,1458.0,1458.0,0.0,307.0,307.0,0.0,16394.0,16394.0,0.0
5350367.01,840.0,840.0,0.0,4622.0,4622.0,0.0,2930.0,2930.0,0.0,11409.0,11409.0,0.0,4027.0,4027.0,0.0,313.0,313.0,0.0,24141.0,24141.0,0.0
5350367.02,265.0,265.0,0.0,3248.0,3248.0,0.0,1783.0,1783.0,0.0,9373.0,9373.0,0.0,4123.0,4123.0,0.0,251.0,251.0,0.0,19043.0,19043.0,0.0
5350368.01,11490.0,11490.0,0.0,5803.0,5803.0,0.0,5354.0,5354.0,0.0,17258.0,17258.0,0.0,9866.0,9866.0,0.0,568.0,568.0,0.0,50339.0,50339.0,0.0
5350368.02,2130.0,2130.0,0.0,3283.0,3283.0,0.0,1480.0,1480.0,0.0,3839.0,3839.0,0.0,1012.0,1012.0,0.0,226.0,226.0,0.0,11970.0,11970.0,0.0
5350369.00,3458.0,3458.0,0.0,5087.0,5087.0,0.0,3403.0,3403.0,0.0,6148.0,6148.0,0.0,4681.0,4681.0,0.0,401.0,401.0,0.0,23178.0,23178.0,0.0
5350370.01,8341.0,8341.0,0.0,8315.0,8315.0,0.0,7276.0,7276.0,0.0,16519.0,16519.0,0.0,5726.0,5726.0,0.0,690.0,690.0,0.0,46867.0,46867.0,0.0
5350370.02,10030.0,10030.0,0.0,9363.0,9363.0,0.0,4909.0,4909.0,0.0,10910.0,10910.0,0.0,4546.0,4546.0,0.0,540.0,540.0,0.0,40298.0,40298.0,0.0
5350370.03,9372.0,9372.0,0.0,6132.0,6132.0,0.0,3892.0,3892.0,0.0,6100.0,6100.0,0.0,3717.0,3717.0,0.0,335.0,335.0,0.0,29548.0,29548.0,0.0
5350371.00,7761.0,7761.0,0.0,5987.0,5987.0,0.0,5042.0,5042.0,0.0,10099.0,10099.0,0.0,3917.0,3917.0,0.0,431.0,431.0,0.0,33237.0,33237.0,0.0
5350372.00,11497.0,11497.0,0.0,9177.0,9177.0,0.0,5065.0,5065.0,0.0,9525.0,9525.0,0.0,3651.0,3651.0,0.0,549.0,549.0,0.0,39464.0,39464.0,0.0
5350373.00,11606.0,11606.0,0.0,11019.0,11019.0,0.0,7052.0,7052.0,0.0,30438.0,30438.0,0.0,7859.0,7859.0,0.0,1048.0,1048.0,0.0,69022.0,69022.0,0.0
5350374.01,2668.0,2668.0,0.0,2658.0,2658.0,0.0,2081.0,2081.0,0.0,21328.0,21328.0,0.0,3623.0,3623.0,0.0,220.0,220.0,0.0,32578.0,32578.0,0.0
5350374.02,12.0,12.0,0.0,751.0,751.0,0.0,443.0,443.0,0.0,402.0,402.0,0.0,918.0,918.0,0.0,84.0,84.0,0.0,2610.0,2610.0,0.0
5350374.03,1979.0,1979.0,0.0,1677.0,1677.0,0.0,1221.0,1221.0,0.0,2811.0,2811.0,0.0,1107.0,1107.0,0.0,102.0,102.0,0.0,8897.0,8897.0,0.0
5350375.01,98.0,98.0,0.0,1785.0,1785.0,0.0,1887.0,1887.0,0.0,20366.0,20366.0,0.0,2507.0,2507.0,0.0,288.0,288.0,0.0,26931.0,26931.0,0.0
5350375.02,6011.0,6011.0,0.0,5450.0,5450.0,0.0,3432.0,3432.0,0.0,23776.0,23776.0,0.0,6298.0,6298.0,0.0,466.0,466.0,0.0,45433.0,45433.0,0.0
5350375.03,163.0,163.0,0.0,935.0,935.0,0.0,1164.0,1164.0,0.0,1100.0,1100.0,0.0,3028.0,3028.0,0.0,322.0,322.0,0.0,6712.0,6712.0,0.0
5350375.04,2.0,2.0,0.0,214.0,214.0,0.0,212.0,212.0,0.0,353.0,353.0,0.0,536.0,536.0,0.0,99.0,99.0,0.0,1416.0,1416.0,0.0
5350375.05,4.0,4.0,0.0,130.0,130.0,0.0,339.0,339.0,0.0,219.0,219.0,0.0,605.0,605.0,0.0,69.0,69.0,0.0,1366.0,1366.0,0.0
5350376.01,2737.0,2737.0,0.0,3139.0,3139.0,0.0,3780.0,3780.0,0.0,6278.0,6278.0,0.0,4391.0,4391.0,0.0,275.0,275.0,0.0,20600.0,20600.0,0.0
5350376.02,756.0,756.0,0.0,1535.0,1535.0,0.0,2785.0,2785.0,0.0,2908.0,2908.0,0.0,3164.0,3164.0,0.0,141.0,141.0,0.0,11289.0,11289.0,0.0
5350376.04,1286.0,1286.0,0.0,2505.0,2505.0,0.0,3588.0,3588.0,0.0,11388.0,11388.0,0.0,6187.0,6187.0,0.0,162.0,162.0,0.0,25116.0,25116.0,0.0
5350376.05,758.0,758.0,0.0,1595.0,1595.0,0.0,2761.0,2761.0,0.0,2943.0,2943.0,0.0,3005.0,3005.0,0.0,126.0,126.0,0.0,11188.0,11188.0,0.0
5350376.06,5620.0,5620.0,0.0,2606.0,2606.0,0.0,2076.0,2076.0,0.0,4738.0,4738.0,0.0,4643.0,4643.0,0.0,258.0,258.0,0.0,19941.0,19941.0,0.0
5350376.08,1356.0,1356.0,0.0,2273.0,2273.0,0.0,3290.0,3290.0,0.0,4234.0,4234.0,0.0,2607.0,2607.0,0.0,250.0,250.0,0.0,14010.0,14010.0,0.0
5350376.09,598.0,598.0,0.0,443.0,443.0,0.0,333.0,333.0,0.0,898.0,898.0,0.0,837.0,837.0,0.0,31.0,31.0,0.0,3140.0,3140.0,0.0
5350376.11,1888.0,1888.0,0.0,2766.0,2766.0,0.0,3426.0,3426.0,0.0,12098.0,12098.0,0.0,7030.0,7030.0,0.0,183.0,183.0,0.0,27391.0,27391.0,0.0
5350376.12,1354.0,1354.0,0.0,1811.0,1811.0,0.0,2836.0,2836.0,0.0,3563.0,3563.0,0.0,3238.0,3238.0,0.0,124.0,124.0,0.0,12926.0,12926.0,0.0
5350376.13,1356.0,1356.0,0.0,2024.0,2024.0,0.0,2800.0,2800.0,0.0,5165.0,5165.0,0.0,3801.0,3801.0,0.0,166.0,166.0,0.0,15312.0,15312.0,0.0
5350376.14,1356.0,1356.0,0.0,1868.0,1868.0,0.0,2817.0,2817.0,0.0,4831.0,4831.0,0.0,3603.0,3603.0,0.0,160.0,160.0,0.0,14635.0,14635.0,0.0
5350376.15,753.0,753.0,0.0,1963.0,1963.0,0.0,2885.0,2885.0,0.0,3464.0,3464.0,0.0,1923.0,1923.0,0.0,176.0,176.0,0.0,11164.0,11164.0,0.0
5350376.16,10067.0,10067.0,0.0,9531.0,9531.0,0.0,9312.0,9312.0,0.0,35718.0,35718.0,0.0,8720.0,8720.0,0.0,951.0,951.0,0.0,74299.0,74299.0,0.0
5350377.02,4774.0,4774.0,0.0,7125.0,7125.0,0.0,5809.0,5809.0,0.0,12243.0,12243.0,0.0,3419.0,3419.0,0.0,565.0,565.0,0.0,33935.0,33935.0,0.0
5350377.03,2375.0,2375.0,0.0,412.0,412.0,0.0,328.0,328.0,0.0,918.0,918.0,0.0,516.0,516.0,0.0,19.0,19.0,0.0,4568.0,4568.0,0.0
5350377.04,3130.0,3130.0,0.0,2078.0,2078.0,0.0,3213.0,3213.0,0.0,3674.0,3674.0,0.0,2144.0,2144.0,0.0,149.0,149.0,0.0,14388.0,14388.0,0.0
5350377.06,753.0,753.0,0.0,1368.0,1368.0,0.0,2579.0,2579.0,0.0,2596.0,2596.0,0.0,1605.0,1605.0,0.0,127.0,127.0,0.0,9028.0,9028.0,0.0
5350377.07,5770.0,5770.0,0.0,3069.0,3069.0,0.0,3850.0,3850.0,0.0,5061.0,5061.0,0.0,1987.0,1987.0,0.0,260.0,260.0,0.0,19997.0,19997.0,0.0
5350377.08,2396.0,2396.0,0.0,3015.0,3015.0,0.0,3630.0,3630.0,0.0,4416.0,4416.0,0.0,2646.0,2646.0,0.0,353.0,353.0,0.0,16456.0,16456.0,0.0
5350377.09,3458.0,3458.0,0.0,2365.0,2365.0,0.0,2097.0,2097.0,0.0,3078.0,3078.0,0.0,2461.0,2461.0,0.0,212.0,212.0,0.0,13671.0,13671.0,0.0
5350378.02,5213.0,5213.0,0.0,5022.0,5022.0,0.0,2841.0,2841.0,0.0,11890.0,11890.0,0.0,1933.0,1933.0,0.0,444.0,444.0,0.0,27343.0,27343.0,0.0
5350378.03,4053.0,4053.0,0.0,1999.0,1999.0,0.0,1444.0,1444.0,0.0,4544.0,4544.0,0.0,2085.0,2085.0,0.0,163.0,163.0,0.0,14288.0,14288.0,0.0
5350378.04,4381.0,4381.0,0.0,4988.0,4988.0,0.0,2733.0,2733.0,0.0,10498.0,10498.0,0.0,1970.0,1970.0,0.0,410.0,410.0,0.0,24980.0,24980.0,0.0
5350378.05,1195.0,1195.0,0.0,1275.0,1275.0,0.0,532.0,532.0,0.0,4325.0,4325.0,0.0,1748.0,1748.0,0.0,140.0,140.0,0.0,9215.0,9215.0,0.0
5350378.06,3532.0,3532.0,0.0,2271.0,2271.0,0.0,1423.0,1423.0,0.0,7195.0,7195.0,0.0,2025.0,2025.0,0.0,205.0,205.0,0.0,16651.0,16651.0,0.0
5350378.07,4674.0,4674.0,0.0,5918.0,5918.0,0.0,3427.0,3427.0,0.0,17253.0,17253.0,0.0,5211.0,5211.0,0.0,479.0,479.0,0.0,36962.0,36962.0,0.0
5350378.08,9012.0,9012.0,0.0,3841.0,3841.0,0.0,4108.0,4108.0,0.0,5770.0,5770.0,0.0,2167.0,2167.0,0.0,571.0,571.0,0.0,25469.0,25469.0,0.0
5350378.11,4727.0,4727.0,0.0,2247.0,2247.0,0.0,1513.0,1513.0,0.0,7854.0,7854.0,0.0,1997.0,1997.0,0.0,200.0,200.0,0.0,18538.0,18538.0,0.0
5350378.12,2305.0,2305.0,0.0,1583.0,1583.0,0.0,832.0,832.0,0.0,4763.0,4763.0,0.0,1368.0,1368.0,0.0,98.0,98.0,0.0,10949.0,10949.0,0.0
5350378.14,8143.0,8143.0,0.0,3159.0,3159.0,0.0,3706.0,3706.0,0.0,5183.0,5183.0,0.0,1806.0,1806.0,0.0,242.0,242.0,0.0,22239.0,22239.0,0.0
