CTUID,Neighbourhoods,Metric_Type,Metric_Name,Travel_Time_Threshold,Category,Before_After_Benefit,Value
5350015.00,Downtown Yonge East,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350015.00,Downtown Yonge East,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350016.00,Moss Park,Social,Number of Destinations Accessible,30.0,Hospital,before,5.0
5350016.00,Moss Park,Social,Number of Destinations Accessible,30.0,Hospital,after,12.0
5350016.00,Moss Park,Social,Number of Destinations Accessible,30.0,Hospital,benefit,7.0
5350017.01,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350017.01,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations Accessible,30.0,Hospital,after,3.0
5350017.01,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations Accessible,30.0,Hospital,benefit,2.0
5350017.02,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations Accessible,30.0,Hospital,before,2.0
5350017.02,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations Accessible,30.0,Hospital,after,3.0
5350017.02,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations Accessible,30.0,Hospital,benefit,1.0
5350018.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350018.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,after,5.0
5350018.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,benefit,4.0
5350019.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350019.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,after,2.0
5350019.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,benefit,1.0
5350020.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,before,0.0
5350020.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,after,0.0
5350020.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350021.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,before,0.0
5350021.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,after,0.0
5350021.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350022.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,before,0.0
5350022.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,after,0.0
5350022.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350023.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,before,0.0
5350023.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,after,0.0
5350023.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350024.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,before,0.0
5350024.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,after,0.0
5350024.00,The Beaches,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350025.00,Woodbine Corridor,Social,Number of Destinations Accessible,30.0,Hospital,before,0.0
5350025.00,Woodbine Corridor,Social,Number of Destinations Accessible,30.0,Hospital,after,0.0
5350025.00,Woodbine Corridor,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350026.00,Greenwood-Coxwell,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350026.00,Greenwood-Coxwell,Social,Number of Destinations Accessible,30.0,Hospital,after,1.0
5350026.00,Greenwood-Coxwell,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350027.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350027.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,after,1.0
5350027.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350028.01,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350028.01,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350028.01,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,benefit,10.0
5350028.02,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350028.02,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,after,2.0
5350028.02,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,benefit,1.0
5350029.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,before,2.0
5350029.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,after,2.0
5350029.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350030.00,Regent Park,Social,Number of Destinations Accessible,30.0,Hospital,before,3.0
5350030.00,Regent Park,Social,Number of Destinations Accessible,30.0,Hospital,after,4.0
5350030.00,Regent Park,Social,Number of Destinations Accessible,30.0,Hospital,benefit,1.0
5350031.00,Regent Park,Social,Number of Destinations Accessible,30.0,Hospital,before,10.0
5350031.00,Regent Park,Social,Number of Destinations Accessible,30.0,Hospital,after,10.0
5350031.00,Regent Park,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350032.00,Moss Park,Social,Number of Destinations Accessible,30.0,Hospital,before,11.0
5350032.00,Moss Park,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350032.00,Moss Park,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350033.00,Moss Park,Social,Number of Destinations Accessible,30.0,Hospital,before,8.0
5350033.00,Moss Park,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350033.00,Moss Park,Social,Number of Destinations Accessible,30.0,Hospital,benefit,3.0
5350034.01,Downtown Yonge East,Social,Number of Destinations Accessible,30.0,Hospital,before,11.0
5350034.01,Downtown Yonge East,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350034.01,Downtown Yonge East,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350034.02,Downtown Yonge East,Social,Number of Destinations Accessible,30.0,Hospital,before,12.0
