CTUID,Job_type,Time,Num_jobs
5350003.00,Grand Total,before,9424.0
5350004.00,Grand Total,before,45986.0
5350005.00,Grand Total,before,68052.0
5350006.00,Grand Total,before,61223.0
5350007.01,Grand Total,before,59116.0
5350007.02,Grand Total,before,59070.0
5350008.01,Grand Total,before,101572.0
5350008.02,Grand Total,before,44526.0
5350009.00,Grand Total,before,125088.0
5350010.01,Grand Total,before,331459.0
5350010.02,Grand Total,before,445591.0
5350011.01,Grand Total,before,535292.0
5350011.02,Grand Total,before,581001.0
5350011.03,Grand Total,before,540956.0
5350012.01,Grand Total,before,330349.0
5350012.03,Grand Total,before,460580.0
5350012.04,Grand Total,before,491913.0
5350013.01,Grand Total,before,559877.0
5350013.02,Grand Total,before,472627.0
5350014.00,Grand Total,before,446239.0
5350015.00,Grand Total,before,551020.0
5350016.00,Grand Total,before,474051.0
5350017.01,Grand Total,before,265245.0
5350017.02,Grand Total,before,436945.0
5350018.00,Grand Total,before,70360.0
5350019.00,Grand Total,before,39099.0
5350020.00,Grand Total,before,17659.0
5350021.00,Grand Total,before,8352.0
5350022.00,Grand Total,before,8556.0
5350023.00,Grand Total,before,13037.0
5350024.00,Grand Total,before,14307.0
5350025.00,Grand Total,before,19257.0
5350026.00,Grand Total,before,21688.0
5350027.00,Grand Total,before,24296.0
5350028.01,Grand Total,before,35871.0
5350028.02,Grand Total,before,36417.0
5350029.00,Grand Total,before,179208.0
5350030.00,Grand Total,before,349591.0
5350031.00,Grand Total,before,244368.0
5350032.00,Grand Total,before,461506.0
5350033.00,Grand Total,before,429774.0
5350034.01,Grand Total,before,582872.0
5350034.02,Grand Total,before,585218.0
5350035.00,Grand Total,before,533315.0
5350036.00,Grand Total,before,549525.0
5350037.00,Grand Total,before,511388.0
5350038.00,Grand Total,before,424517.0
5350039.00,Grand Total,before,446418.0
5350040.00,Grand Total,before,402359.0
5350041.00,Grand Total,before,233375.0
5350042.00,Grand Total,before,187220.0
5350043.00,Grand Total,before,190554.0
5350044.01,Grand Total,before,53326.0
5350044.02,Grand Total,before,70982.0
5350045.00,Grand Total,before,99781.0
5350046.00,Grand Total,before,51510.0
5350047.02,Grand Total,before,52265.0
5350047.03,Grand Total,before,20516.0
5350047.04,Grand Total,before,42236.0
5350048.00,Grand Total,before,32052.0
5350049.00,Grand Total,before,27564.0
5350050.01,Grand Total,before,4083.0
5350050.03,Grand Total,before,5482.0
5350050.04,Grand Total,before,5382.0
5350051.00,Grand Total,before,22305.0
5350052.00,Grand Total,before,45232.0
5350053.00,Grand Total,before,45624.0
5350054.00,Grand Total,before,54312.0
5350055.00,Grand Total,before,47820.0
5350056.00,Grand Total,before,98244.0
5350057.00,Grand Total,before,46147.0
5350058.00,Grand Total,before,97229.0
5350059.00,Grand Total,before,246498.0
5350060.00,Grand Total,before,408516.0
5350061.00,Grand Total,before,476627.0
5350062.01,Grand Total,before,536183.0
5350062.03,Grand Total,before,566325.0
5350062.04,Grand Total,before,583008.0
