CTUID,Neighbourhoods,Metric_Type,Metric_Name,Travel_Time_Threshold,Category,Before_After_Benefit,Value
5350006.0,South Parkdale,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.05454295
5350006.0,South Parkdale,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.07933519999999998
5350006.0,South Parkdale,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.10412745
5350006.0,South Parkdale,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.13883659999999998
5350006.0,South Parkdale,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.11404434999999999
5350009.0,West Queen West,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.034709149999999994
5350009.0,West Queen West,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.09421055
5350009.0,West Queen West,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.07933519999999998
5350009.0,West Queen West,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.11900279999999998
5350009.0,West Queen West,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.11900279999999998
5350014.0,Yonge-Bay Corridor,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.029750699999999995
5350014.0,Yonge-Bay Corridor,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,
5350014.0,Yonge-Bay Corridor,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.55038795
5350014.0,Yonge-Bay Corridor,Environmental,CO2 Emission (Driving),0,North York Centre,before,
5350014.0,Yonge-Bay Corridor,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,
5350015.0,Downtown Yonge East,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.019833799999999995
5350015.0,Downtown Yonge East,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.09916900000000001
5350015.0,Downtown Yonge East,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.06445985
5350015.0,Downtown Yonge East,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.11404434999999999
5350015.0,Downtown Yonge East,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.09421055
5350016.0,Moss Park,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.019833799999999995
5350016.0,Moss Park,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.10412745
5350016.0,Moss Park,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.06941829999999999
5350016.0,Moss Park,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.1090859
5350016.0,Moss Park,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.08429364999999998
5350018.0,South Riverdale,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.03966759999999999
5350018.0,South Riverdale,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.11900279999999998
5350018.0,South Riverdale,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.07437674999999999
5350018.0,South Riverdale,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.10412745
5350018.0,South Riverdale,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.07933519999999998
5350019.0,South Riverdale,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.03966759999999999
5350019.0,South Riverdale,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.11900279999999998
5350019.0,South Riverdale,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.08429364999999998
5350019.0,South Riverdale,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.11404434999999999
5350019.0,South Riverdale,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.09421055
5350020.0,The Beaches,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.049584500000000004
5350020.0,The Beaches,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.11900279999999998
5350020.0,The Beaches,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.07933519999999998
5350020.0,The Beaches,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.11404434999999999
5350020.0,The Beaches,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.0892521
5350021.0,The Beaches,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.06941829999999999
5350021.0,The Beaches,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.13883659999999998
5350021.0,The Beaches,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.10412745
5350021.0,The Beaches,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.1289197
5350021.0,The Beaches,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.09916900000000001
5350022.0,The Beaches,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.06941829999999999
5350022.0,The Beaches,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.14379504999999998
5350022.0,The Beaches,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.10412745
5350022.0,The Beaches,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.1289197
5350022.0,The Beaches,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.08429364999999998
5350023.0,The Beaches,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.06941829999999999
5350023.0,The Beaches,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.14379504999999998
5350023.0,The Beaches,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.10412745
5350023.0,The Beaches,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.1289197
5350023.0,The Beaches,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.0892521
5350024.0,The Beaches,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.06445985
5350024.0,The Beaches,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.13387814999999997
5350024.0,The Beaches,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.09421055
5350024.0,The Beaches,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.11900279999999998
5350024.0,The Beaches,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.09421055
5350025.0,Woodbine Corridor,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.06445985
5350025.0,Woodbine Corridor,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.13387814999999997
5350025.0,Woodbine Corridor,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.0892521
5350025.0,Woodbine Corridor,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.11900279999999998
5350025.0,Woodbine Corridor,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.09421055
5350026.0,Greenwood-Coxwell,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.05454295
5350026.0,Greenwood-Coxwell,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.1289197
5350026.0,Greenwood-Coxwell,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.08429364999999998
