from_id,to_id,travel_time
5350289.0,30063647,14.0
5350290.01,30063647,13.0
5350290.02,30063647,15.0
5350291.02,30063647,16.0
5350291.03,30063647,19.0
5350291.04,30063647,17.0
5350305.06,536800,14.0
5350309.0,515959,20.0
5350310.02,515959,9.0
5350310.02,13501524,14.0
5350312.04,9035631,14.0
5350316.05,9035631,20.0
5350317.05,13501524,11.0
5350317.05,515959,11.0
5350321.02,504810,17.0
5350324.01,504810,19.0
5350354.0,9638452,17.0
5350362.03,6362828,18.0
5350376.02,4616608,15.0
5350376.08,4616608,11.0
5350376.14,4616608,17.0
