from_id,to_id,travel_time
5350003.0,10757635,17.0
5350003.0,20232082,27.0
5350003.0,8168605,28.0
5350004.0,10757635,16.0
5350004.0,8168605,16.0
5350004.0,20232082,21.0
5350005.0,8168605,13.0
5350005.0,20232082,18.0
5350005.0,10757635,19.0
5350006.0,8168605,1.0
5350006.0,10757635,21.0
5350006.0,20232082,22.0
5350007.01,8168605,4.0
5350007.01,10757635,21.0
5350007.01,20232082,22.0
5350007.02,8168605,19.0
5350007.02,20232082,20.0
5350007.02,10757635,25.0
5350008.01,20232082,18.0
5350008.01,8168605,24.0
5350008.01,10757635,28.0
5350008.01,9086232,30.0
5350008.02,20232082,25.0
5350008.02,8168605,30.0
5350008.02,9086232,30.0
5350009.0,20232082,3.0
5350009.0,9086232,22.0
5350009.0,8168605,26.0
5350009.0,10757635,27.0
5350009.0,9942219,27.0
5350010.01,20232082,8.0
5350010.01,8168605,21.0
5350010.01,9086232,21.0
5350010.01,10757635,25.0
5350010.01,9942219,28.0
5350010.02,20232082,17.0
5350010.02,9086232,20.0
5350010.02,8168605,23.0
5350010.02,10757635,27.0
5350010.02,7792695,30.0
5350011.01,9086232,20.0
5350011.01,20232082,21.0
5350011.01,9942219,23.0
5350011.01,7792695,27.0
5350011.01,8168605,27.0
5350011.01,773891,28.0
5350011.01,13498043,29.0
5350011.01,7792696,30.0
5350011.01,7792698,30.0
5350011.02,7792695,20.0
5350011.02,7792698,22.0
5350011.02,9942219,22.0
5350011.02,13498043,23.0
5350011.02,7792696,24.0
5350011.02,773891,24.0
5350011.02,7762671,25.0
5350011.02,9086232,26.0
5350011.02,7792529,26.0
5350011.02,7754575,27.0
5350011.02,20232082,27.0
5350011.02,6522400,29.0
5350011.03,7792695,22.0
5350011.03,13498043,24.0
5350011.03,773891,24.0
5350011.03,7792696,25.0
5350011.03,7792698,25.0
5350011.03,9942219,25.0
5350011.03,7762671,26.0
5350011.03,7754575,27.0
5350011.03,20232082,27.0
5350011.03,7792529,27.0
5350011.03,6522400,29.0
5350011.03,9086232,30.0
5350012.01,9086232,24.0
5350012.01,9942219,30.0
5350012.03,7792695,27.0
5350012.03,773891,28.0
5350012.03,7762671,29.0
5350012.03,13498043,29.0
5350012.03,7792696,30.0
5350012.03,7754575,30.0
5350012.03,7792698,30.0
5350012.04,773891,25.0
5350012.04,7754575,27.0
5350012.04,7762671,28.0
5350012.04,7792695,28.0
5350012.04,6522400,29.0
5350012.04,13498043,30.0
5350012.04,7792529,30.0
5350013.01,773891,18.0
5350013.01,7754575,21.0
5350013.01,7792695,21.0
5350013.01,7762671,22.0
5350013.01,7792696,23.0
5350013.01,13498043,23.0
5350013.01,6522400,23.0
5350013.01,7792529,23.0
5350013.01,7792698,24.0
5350013.01,6388009,30.0
5350013.02,7792695,25.0
5350013.02,773891,25.0
5350013.02,7754575,27.0
5350013.02,7762671,27.0
5350013.02,13498043,27.0
5350013.02,7792696,28.0
5350013.02,7792698,28.0
5350013.02,6522400,29.0
5350013.02,7792529,29.0
5350014.0,7792695,16.0
5350014.0,13498043,18.0
5350014.0,773891,18.0
5350014.0,7792696,19.0
5350014.0,7792698,19.0
5350014.0,7762671,20.0
5350014.0,7754575,21.0
5350014.0,7792529,21.0
5350014.0,6522400,23.0
5350014.0,9942219,27.0
5350014.0,9086232,30.0
5350015.0,773891,10.0
5350015.0,7754575,20.0
5350015.0,7762671,21.0
5350015.0,7792695,22.0
5350015.0,6522400,22.0
5350015.0,7792529,22.0
5350015.0,7792696,23.0
5350015.0,13498043,24.0
5350015.0,7792698,25.0
5350015.0,6388009,28.0
5350016.0,773891,21.0
5350016.0,6388009,22.0
5350016.0,7754575,26.0
5350016.0,7762671,28.0
5350016.0,7792695,28.0
5350016.0,6522400,29.0
5350016.0,13498043,30.0
5350016.0,7792529,30.0
5350017.01,773891,29.0
5350017.01,6388009,29.0
5350017.02,773891,26.0
5350017.02,6388009,29.0
5350017.02,7792695,30.0
5350018.0,6388009,22.0
5350018.0,773891,28.0
5350019.0,6388009,28.0
5350019.0,773891,30.0
5350020.0,6208976,29.0
5350020.0,6388009,30.0
5350026.0,6388009,28.0
5350027.0,6388009,23.0
5350028.01,6388009,20.0
5350028.01,773891,29.0
5350028.02,6388009,21.0
5350029.0,6388009,12.0
5350029.0,773891,25.0
5350029.0,6522400,28.0
5350029.0,7754575,30.0
5350029.0,7762671,30.0
5350029.0,7792529,30.0
5350030.0,6388009,16.0
5350030.0,773891,21.0
5350030.0,7762671,29.0
5350030.0,7754575,30.0
5350030.0,7792529,30.0
5350031.0,6388009,11.0
5350031.0,7762671,23.0
5350031.0,773891,23.0
5350031.0,7792529,24.0
5350031.0,7754575,25.0
5350031.0,13498043,26.0
5350031.0,7792696,27.0
5350031.0,7792698,28.0
5350031.0,7792695,28.0
5350031.0,9942219,29.0
5350031.0,6522400,30.0
5350032.0,6388009,19.0
5350032.0,7762671,20.0
5350032.0,7754575,21.0
5350032.0,773891,21.0
5350032.0,7792529,21.0
5350032.0,13498043,23.0
5350032.0,7792696,24.0
5350032.0,7792698,25.0
5350032.0,7792695,25.0
5350032.0,6522400,26.0
5350032.0,9942219,26.0
5350033.0,773891,16.0
5350033.0,6388009,24.0
5350033.0,7754575,26.0
5350033.0,7762671,27.0
5350033.0,7792696,28.0
5350033.0,7792695,28.0
5350033.0,7792529,28.0
5350033.0,7792698,29.0
5350033.0,13498043,29.0
5350033.0,6522400,30.0
5350034.01,7754575,12.0
5350034.01,7792696,14.0
5350034.01,7762671,14.0
5350034.01,7792529,14.0
5350034.01,773891,15.0
5350034.01,13498043,18.0
5350034.01,6522400,18.0
5350034.01,7792695,20.0
5350034.01,7792698,21.0
5350034.01,6388009,21.0
5350034.01,9942219,21.0
5350034.01,9086232,30.0
5350034.02,773891,6.0
5350034.02,7754575,17.0
5350034.02,7792696,18.0
5350034.02,7762671,18.0
5350034.02,7792529,18.0
5350034.02,7792695,19.0
5350034.02,6522400,19.0
5350034.02,7792698,21.0
5350034.02,13498043,21.0
5350034.02,9086232,25.0
5350034.02,6388009,25.0
5350034.02,9942219,27.0
5350035.0,7792696,7.0
5350035.0,7792529,7.0
5350035.0,7792695,9.0
5350035.0,7792698,11.0
5350035.0,7762671,11.0
5350035.0,13498043,11.0
5350035.0,773891,15.0
5350035.0,7754575,17.0
5350035.0,6522400,19.0
5350035.0,9086232,22.0
5350035.0,9942219,22.0
5350035.0,6388009,29.0
5350036.0,7792695,13.0
5350036.0,7792698,14.0
5350036.0,13498043,17.0
5350036.0,9942219,17.0
5350036.0,7792696,18.0
5350036.0,9086232,19.0
5350036.0,7792529,22.0
5350036.0,7762671,24.0
5350036.0,773891,26.0
5350036.0,20232082,28.0
5350036.0,7754575,29.0
5350037.0,7792695,7.0
5350037.0,7792698,9.0
5350037.0,13498043,11.0
5350037.0,9942219,11.0
5350037.0,7792696,14.0
5350037.0,7792529,17.0
5350037.0,7762671,18.0
5350037.0,9086232,20.0
5350037.0,7754575,27.0
5350037.0,773891,27.0
5350037.0,6522400,30.0
5350038.0,9086232,7.0
5350038.0,9942219,12.0
5350038.0,13498043,20.0
5350038.0,7762671,21.0
5350038.0,7792695,21.0
5350038.0,7792529,21.0
5350038.0,7792698,23.0
5350038.0,7792696,25.0
5350038.0,20232082,28.0
5350038.0,7754575,29.0
5350038.0,6522400,29.0
5350039.0,9086232,12.0
5350039.0,9942219,18.0
5350039.0,7792695,22.0
5350039.0,7792698,24.0
5350039.0,13498043,25.0
5350039.0,20232082,25.0
5350039.0,7792696,26.0
5350039.0,7792529,28.0
5350039.0,7762671,30.0
5350040.0,9086232,12.0
5350040.0,20232082,19.0
5350040.0,9942219,23.0
5350040.0,7792695,27.0
5350040.0,13498043,28.0
5350040.0,7792698,29.0
5350040.0,7792529,30.0
5350041.0,9086232,11.0
5350041.0,9942219,17.0
5350041.0,13498043,22.0
5350041.0,7762671,23.0
5350041.0,20232082,23.0
5350041.0,7792529,23.0
5350041.0,7792698,25.0
5350041.0,7792695,25.0
5350041.0,7792696,27.0
5350042.0,20232082,17.0
5350042.0,9086232,18.0
5350042.0,9942219,24.0
5350042.0,13498043,29.0
5350042.0,7792695,29.0
5350043.0,20232082,7.0
5350043.0,9086232,18.0
5350043.0,9942219,24.0
5350043.0,13498043,28.0
5350043.0,8168605,28.0
5350043.0,10757635,29.0
5350043.0,7792695,29.0
5350043.0,6522400,29.0
5350044.01,20232082,17.0
5350044.01,9086232,23.0
5350044.01,10757635,28.0
5350044.01,8168605,28.0
5350044.02,20232082,11.0
5350044.02,10757635,24.0
5350044.02,8168605,25.0
5350044.02,9086232,30.0
5350045.0,20232082,19.0
5350045.0,9086232,20.0
5350045.0,9942219,25.0
5350045.0,8168605,26.0
5350045.0,10757635,28.0
5350045.0,13498043,30.0
5350046.0,20232082,21.0
5350046.0,9086232,23.0
5350046.0,8168605,26.0
5350046.0,10757635,28.0
5350046.0,9942219,29.0
5350047.02,8168605,17.0
5350047.02,20232082,19.0
5350047.02,10757635,20.0
5350047.03,10757635,26.0
5350047.03,20232082,29.0
5350047.04,10757635,18.0
5350047.04,20232082,22.0
5350047.04,8168605,22.0
5350048.0,10757635,11.0
5350048.0,8168605,23.0
5350048.0,20232082,24.0
5350049.0,10757635,7.0
5350049.0,20232082,24.0
5350049.0,8168605,24.0
5350050.01,10757635,28.0
5350050.03,10757635,26.0
5350050.04,10553805,24.0
5350050.04,10757635,28.0
5350051.0,10757635,22.0
5350051.0,8168605,27.0
5350051.0,20232082,28.0
5350051.0,9086232,29.0
5350052.0,10757635,22.0
5350052.0,20232082,25.0
5350052.0,9086232,26.0
5350052.0,8168605,27.0
5350053.0,20232082,25.0
5350053.0,8168605,26.0
5350053.0,9086232,28.0
5350053.0,6522400,28.0
5350053.0,10757635,29.0
5350053.0,13498043,30.0
5350053.0,9942219,30.0
5350054.0,20232082,22.0
5350054.0,9086232,24.0
5350054.0,8168605,26.0
5350054.0,6522400,27.0
5350054.0,10757635,28.0
5350054.0,9942219,28.0
5350054.0,13498043,29.0
5350055.0,20232082,22.0
5350055.0,6522400,28.0
5350055.0,9942219,29.0
5350055.0,13498043,30.0
5350055.0,9086232,30.0
5350056.0,9942219,19.0
5350056.0,20232082,20.0
5350056.0,7754575,22.0
5350056.0,9086232,24.0
5350056.0,7762671,25.0
5350056.0,13498043,25.0
5350056.0,6522400,27.0
5350056.0,7792529,27.0
5350056.0,7792698,28.0
5350056.0,7792696,30.0
5350056.0,9110076,30.0
5350056.0,7792695,30.0
5350057.0,9086232,20.0
5350057.0,6522400,22.0
5350057.0,9942219,22.0
5350057.0,9110076,23.0
5350057.0,13498043,24.0
5350057.0,7754575,25.0
5350057.0,7792698,27.0
5350057.0,7762671,28.0
5350057.0,7792696,29.0
5350057.0,7792695,29.0
5350057.0,7792529,29.0
5350058.0,9086232,18.0
5350058.0,9942219,19.0
5350058.0,20232082,23.0
5350058.0,13498043,24.0
5350058.0,7762671,25.0
5350058.0,7792529,25.0
5350058.0,7754575,26.0
5350058.0,7792698,27.0
5350058.0,7792696,29.0
5350058.0,9110076,29.0
5350058.0,7792695,29.0
5350058.0,6522400,30.0
5350059.0,9942219,12.0
5350059.0,9086232,16.0
5350059.0,13498043,20.0
5350059.0,7762671,21.0
5350059.0,7792529,21.0
5350059.0,7754575,22.0
