CTUID,AREA_NAME
5350303.00,Don Valley Village
5350309.00,Westminster-Branson
5350313.00,Humbermede
5350319.00,Newtonbrook West
5350330.00,Guildwood
5350332.00,Scarborough Village
5350333.00,Cliffcrest
5350334.00,Cliffcrest
5350335.00,Cliffcrest
5350336.00,Birchcliffe-Cliffside
5350338.00,Birchcliffe-Cliffside
5350339.00,Birchcliffe-Cliffside
5350340.00,Clairlea-Birchmount
5350342.00,Clairlea-Birchmount
5350343.00,Clairlea-Birchmount
5350345.00,Kennedy Park
5350347.00,Clairlea-Birchmount
5350348.00,Clairlea-Birchmount
5350349.00,Wexford/Maryvale
5350350.00,Wexford/Maryvale
5350352.00,Dorset Park
5350354.00,Bendale South
5350356.00,Golfdale-Cedarbrae-Woburn
5350359.00,West Hill
5350360.00,West Hill
5350365.00,Golfdale-Cedarbrae-Woburn
5350366.00,Woburn North
5350369.00,Bendale-Glen Andrew
5350371.00,Wexford/Maryvale
5350372.00,Wexford/Maryvale
5350373.00,Wexford/Maryvale
5350012.01,Harbourfront-CityPlace
5350034.01,Downtown Yonge East
5350034.02,Downtown Yonge East
5350299.01,Lansing-Westgate
5350299.02,Lansing-Westgate
5350305.03,Bayview Village
5350307.03,Yonge-Doris
5350307.04,Yonge-Doris
5350307.05,Yonge-Doris
5350307.06,Yonge-Doris
5350307.07,East Willowdale
5350368.01,Bendale-Glen Andrew
5350368.02,Bendale-Glen Andrew
5350013.01,St Lawrence-East Bayfront-The Islands
5350013.02,St Lawrence-East Bayfront-The Islands
5350012.03,Harbourfront-CityPlace
5350012.04,Harbourfront-CityPlace
5350376.15,Tam O'Shanter-Sullivan
5350376.16,Tam O'Shanter-Sullivan
5350237.01,Willowridge-Martingrove-Richview
5350237.02,Willowridge-Martingrove-Richview
5350237.03,Willowridge-Martingrove-Richview
5350249.01,Mount Olive-Silverstone-Jamestown
5350260.01,Flemingdon Park
5350301.01,Henry Farm
5350304.01,Don Valley Village
5350304.02,Don Valley Village
5350304.03,Bayview Village
5350304.04,Don Valley Village
5350311.02,York University Heights
5350311.03,York University Heights
5350311.04,York University Heights
5350312.02,Glenfield-Jane Heights
5350312.03,Glenfield-Jane Heights
5350315.01,Humber Summit
5350315.02,Humber Summit
5350316.01,Black Creek
5350324.01,Bayview Woods-Steeles
5350324.02,Hillcrest Village
5350324.03,Hillcrest Village
5350375.01,L'Amoreaux West
5350375.02,Tam O'Shanter-Sullivan
5350375.03,Tam O'Shanter-Sullivan
5350376.01,East L'Amoreaux
5350376.02,East L'Amoreaux
5350322.01,Newtonbrook East
5350322.02,Newtonbrook East
5350378.25,Morningside Heights
5350378.26,Morningside Heights
5350378.27,Morningside Heights
5350378.28,Morningside Heights
5350355.05,Eglinton East
5350355.06,Eglinton East
5350337.01,Birchcliffe-Cliffside
5350337.02,Birchcliffe-Cliffside
5350260.06,Flemingdon Park
5350260.07,Victoria Village
